date,time,open,high,low,close,volume
2022.06.23,19:45,20283.05,20333.73,20271.05,20312.71,556
2022.06.23,19:50,20311.73,20327.21,20286.45,20304.96,782
2022.06.23,19:55,20304.46,20304.46,20249.42,20255.96,667
2022.06.23,20:00,20256.21,20256.21,20147.24,20194.4,1010
2022.06.23,20:05,20194.4,20291.94,20188.9,20273.13,921
2022.06.23,20:10,20273.13,20307.57,20256.69,20284.46,750
2022.06.23,20:15,20284.56,20314.46,20264.06,20286.96,890
2022.06.23,20:20,20288.46,20304.65,20263.65,20274.18,719
2022.06.23,20:25,20274.18,20289.46,20208.3,20236.29,721
2022.06.23,20:30,20236.79,20284.46,20234.21,20270.87,673
2022.06.23,20:35,20270.87,20277.37,20225.52,20260.96,616
2022.06.23,20:40,20261.52,20278.55,20218.96,20273.71,715
2022.06.23,20:45,20274.21,20303.96,20256.05,20295.87,525
2022.06.23,20:50,20293.37,20356.85,20287.83,20305.33,1039
2022.06.23,20:55,20307.83,20333.83,20276.24,20289.96,677
2022.06.23,21:00,20289.21,20323.21,20274.96,20308.43,686
2022.06.23,21:05,20309.71,20324.71,20265.01,20278.46,665
2022.06.23,21:10,20278.71,20338.21,20251.89,20329.87,513
2022.06.23,21:15,20331.21,20379.21,20328.96,20371.46,733
2022.06.23,21:20,20371.46,20380.43,20348.93,20367.46,786
2022.06.23,21:25,20369.93,20409.46,20358.25,20385.96,922
2022.06.23,21:30,20386.21,20427.9,20377.4,20395.91,658
2022.06.23,21:35,20396.91,20417.91,20346.71,20378.9,775
2022.06.23,21:40,20380.21,20414.9,20371.9,20409.46,664
2022.06.23,21:45,20410.21,20418.21,20365.4,20393.02,645
2022.06.23,21:50,20394.46,20409.71,20387.56,20390.96,468
2022.06.23,21:55,20390.21,20410.46,20379.32,20404.22,516
2022.06.23,22:00,20405.96,20405.96,20386.46,20395.46,558
